id,code,cluster_code,adm0_code,adm0_name,prov_text_code,adm1_code,adm1_name,adm2_code,adm2_name,adm3_code,adm3_name,adm4_code,adm4_name,adm5_code,adm5_name,urban_rural,carto_house_count,carto_pop_count,import_code,status,comment,created_by,updated_by,created_at,updated_at,cluster_id
52,CE199,1474EL,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102110,MUTENGA,01021101005,,Rural,120,610,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,212
53,CE198,1474EL,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102110,MUTENGA,01021101008,,Rural,112,718,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,212
54,CE197,1474EL,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102110,MUTENGA,01021101011,,Rural,109,716,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,212
55,CE196,1474EL,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102110,MUTENGA,01021101014,,Rural,96,484,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,212
56,CE195,1474EL,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102110,MUTENGA,01021101017,,Rural,62,341,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,212
57,CE194,1474EL,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102110,MUTENGA,01021101021,,Rural,108,512,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,212
58,CE193,1474EL,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102110,MUTENGA,01021101024,,Rural,73,478,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,212
59,CE192,1474EL,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102110,MUTENGA,01021101027,,Rural,76,459,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,212
60,CE191,1474EL,,,CE,01,CENTRAL,0102,CHISAMBA,01021,CHISAMBA,0102110,MUTENGA,01021101030,,Rural,97,606,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,212
61,CE190,1881EE,,,CE,01,CENTRAL,0105,KAPIRI MPOSHI,01051,KAPIRI MPOSHI,0105103,IMANSA,01051031002,,Rural,64,361,init1,,OKAY,,,2025-01-16 22:40:56.053000000,2025-01-16 22:40:56.053000000,5
